code,name,description,refreshed_at,from_date,to_date
MCO,"Moody's Corp. (MCO) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Moody's Corporation (MCO). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",3/27/18 21:46,10/31/94,3/27/18
MCP,"Molycorp (MCP) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Molycorp, Inc (MCP). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:40,7/29/10,6/24/15
MCRI,"Monarch Casino & Resort Inc. (MCRI) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Monarch Casino & Resort, Inc. (MCRI). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,8/10/93,3/27/18
MCRL,"Micrel Inc. (MCRL) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Micrel, Incorporated (MCRL). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:41,12/9/94,8/3/15
MCRS,"MICROS Systems, Inc. (MCRS) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MICROS Systems, Inc. (MCRS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",9/8/14 21:07,3/26/90,9/8/14
MCS,"Marcus Corp. (MCS) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Marcus Corporation (The) (MCS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,3/29/90,3/27/18
MCY,"Mercury General Corp. (MCY) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Mercury General Corporation (MCY). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,3/26/90,3/27/18
MD,"Mednax (MD) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Mednax, Inc (MD). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,9/20/95,3/27/18
MDAS,"MedAssets Inc. (MDAS) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MedAssets, Inc. (MDAS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:41,12/13/07,1/27/16
MDC,"M.D.C. Holdings Inc. (MDC) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for M.D.C. Holdings, Inc. (MDC). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,3/11/80,3/27/18
MDCA,"MDC Partners Inc (MDCA) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MDC Partners Inc. (MDCA). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,4/17/95,3/27/18
MDCI,"Medical Action Industries Inc. (MDCI) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Medical Action Industries Inc. (MDCI). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:41,7/22/86,9/30/14
MDCO,"Medicines Company (MDCO) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for The Medicines Company (MDCO). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,8/8/00,3/27/18
MDLZ,"Mondelez International Inc (MDLZ) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Mondelez International, Inc. (MDLZ). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",3/27/18 21:46,6/13/01,3/27/18
MDP,"Meredith Corp (MDP) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Meredith Corporation (MDP). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,7/1/85,3/27/18
MDR,"McDermott International Inc. (MDR) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for McDermott International, Inc. (MDR). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,12/31/82,3/27/18
MDRX,"Allscripts Healthcare Solutions Inc. (MDRX) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Allscripts Healthcare Solutions, Inc. (MDRX). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:45,7/26/99,3/27/18
MDSO,"Medidata Solutions Inc. (MDSO) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Medidata Solutions, Inc. (MDSO). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,6/25/09,3/27/18
MDT,"Medtronic PLC (MDT) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Medtronic, Inc. (MDT). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",3/27/18 21:46,12/31/81,3/27/18
MDU,"MDU Resources Group Inc. (MDU) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MDU Resources Group, Inc. (MDU). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,11/5/87,3/27/18
MDVN,"Medivation Inc (MDVN) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Medivation, Inc. (MDVN). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:41,1/13/97,9/28/16
MDW,"Midway Gold Corp. (MDW) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Midway Gold Corporation (MDW). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:42,10/19/07,6/19/15
MDXG,"MiMedx Group Inc (MDXG) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MiMedx Group, Inc (MDXG). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,2/12/08,3/27/18
MEAS,"Measurement Specialties Inc. Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Measurement Specialties, Inc. (MEAS). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:42,4/26/93,10/9/14
MED,"Medifast Inc (MED) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MEDIFAST INC (MED). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,12/31/93,3/27/18
MEG,"Media General Inc. Cl A (MEG) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Media General, Inc. (MEG). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:43,9/9/75,1/17/17
MEI,"Methode Electronics Inc. (MEI) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Methode Electronics, Inc. (MEI). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,3/23/90,3/27/18
MEIP,"MEI Pharma Inc. (MEIP) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MEI Pharma, Inc. (MEIP). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,12/18/03,3/27/18
MENT,"Mentor Graphics Corp (MENT) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Mentor Graphics Corporation (MENT). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:46,1/18/84,3/30/17
MET,"MetLife Inc (MET) Prices, Dividends, Splits and Trading Volume","End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MetLife, Inc. (MET). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (www.crsp.com/products/documentation/crsp-calculations)

This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.

This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: connect@quandl.com
",3/27/18 21:46,4/5/00,3/27/18
METR,"Metro Bancorp Inc (PA) (METR) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Metro Bancorp, Inc (METR). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:42,8/18/95,2/12/16
MFA,"MFA Financial Inc. (MFA) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for MFA Financial, Inc. (MFA). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",3/27/18 21:46,4/13/98,3/27/18
MFLX,"Multi-Fineline Electronix Inc. (MFLX) Prices, Dividends, Splits and Trading Volume","<p>End of day open, high, low, close and volume, dividends and splits, and split/dividend adjusted open, high, low close and volume for Multi-Fineline Electronix, Inc. (MFLX). Ex-Dividend is non-zero on ex-dividend dates. Split Ratio is 1 on non-split dates. Adjusted prices are calculated per CRSP (<a href=""http://www.crsp.com/products/documentation/crsp-calculations"" rel=""nofollow"" target=""blank"">www.crsp.com/products/documentation/crsp-calculations</a>)</p>

<p>This data is in the public domain. You may copy, distribute, disseminate or include the data in other products for commercial and/or noncommercial purposes.</p>

<p>This data is part of Quandl's Wiki initiative to get financial data permanently into the public domain. Quandl relies on users like you to flag errors and provide data where data is wrong or missing. Get involved: <a href=""mailto:connect@quandl.com"" rel=""nofollow"" target=""blank"">connect@quandl.com</a>
</p>
",4/26/17 13:43,6/25/04,7/27/16
